function_name,date,value
Bathroom Motion,2019-03-01,39
Bathroom Motion,2019-03-02,26
Bathroom Motion,2019-03-03,36
Bathroom Motion,2019-03-04,50
Bathroom Motion,2019-03-05,32
Bathroom Motion,2019-03-06,30
Bathroom Motion,2019-03-07,42
Bathroom Motion,2019-03-08,46
Bathroom Motion,2019-03-09,39
Bathroom Motion,2019-03-10,43
Bathroom Motion,2019-03-11,52
Bathroom Motion,2019-03-12,40
Bathroom Motion,2019-03-13,51
Bathroom Motion,2019-03-14,28
Bathroom Motion,2019-03-15,28
Bathroom Motion,2019-03-16,32
Bathroom Motion,2019-03-17,36
Bathroom Motion,2019-03-18,43
Bathroom Motion,2019-03-19,44
Bathroom Motion,2019-03-20,51
Bathroom Motion,2019-03-21,60
Bathroom Motion,2019-03-22,68
Bathroom Motion,2019-03-23,40
Bathroom Motion,2019-03-24,30
Bathroom Motion,2019-03-25,35
Bathroom Motion,2019-03-26,38
Bathroom Motion,2019-03-27,71
Bathroom Motion,2019-03-28,41
Bathroom Motion,2019-03-29,34
Bathroom Motion,2019-03-30,38
Bathroom Motion,2019-03-31,35
Bedroom Motion,2019-03-01,78
Bedroom Motion,2019-03-02,55
Bedroom Motion,2019-03-03,68
Bedroom Motion,2019-03-04,83
Bedroom Motion,2019-03-05,84
Bedroom Motion,2019-03-06,73
Bedroom Motion,2019-03-07,70
Bedroom Motion,2019-03-08,146
Bedroom Motion,2019-03-09,68
Bedroom Motion,2019-03-10,59
Bedroom Motion,2019-03-11,124
Bedroom Motion,2019-03-12,66
Bedroom Motion,2019-03-13,100
Bedroom Motion,2019-03-14,93
Bedroom Motion,2019-03-15,92
Bedroom Motion,2019-03-16,82
Bedroom Motion,2019-03-17,93
Bedroom Motion,2019-03-18,67
Bedroom Motion,2019-03-19,183
Bedroom Motion,2019-03-20,98
Bedroom Motion,2019-03-21,84
Bedroom Motion,2019-03-22,104
Bedroom Motion,2019-03-23,77
Bedroom Motion,2019-03-24,45
Bedroom Motion,2019-03-25,76
Bedroom Motion,2019-03-26,103
Bedroom Motion,2019-03-27,141
Bedroom Motion,2019-03-28,102
Bedroom Motion,2019-03-29,88
Bedroom Motion,2019-03-30,63
Bedroom Motion,2019-03-31,82
Kitchen Motion,2019-03-01,141
Kitchen Motion,2019-03-02,115
Kitchen Motion,2019-03-03,215
Kitchen Motion,2019-03-04,155
Kitchen Motion,2019-03-05,198
Kitchen Motion,2019-03-06,120
Kitchen Motion,2019-03-07,177
Kitchen Motion,2019-03-08,258
Kitchen Motion,2019-03-09,108
Kitchen Motion,2019-03-10,120
Kitchen Motion,2019-03-11,210
Kitchen Motion,2019-03-12,150
Kitchen Motion,2019-03-13,88
Kitchen Motion,2019-03-14,124
Kitchen Motion,2019-03-15,130
Kitchen Motion,2019-03-16,171
Kitchen Motion,2019-03-17,138
Kitchen Motion,2019-03-18,143
Kitchen Motion,2019-03-19,210
Kitchen Motion,2019-03-20,206
Kitchen Motion,2019-03-21,155
Kitchen Motion,2019-03-22,126
Kitchen Motion,2019-03-23,100
Kitchen Motion,2019-03-24,112
Kitchen Motion,2019-03-25,115
Kitchen Motion,2019-03-26,153
Kitchen Motion,2019-03-27,164
Kitchen Motion,2019-03-28,153
Kitchen Motion,2019-03-29,158
Kitchen Motion,2019-03-30,117
Kitchen Motion,2019-03-31,116
Lounge Motion,2019-03-01,48
Lounge Motion,2019-03-02,24
Lounge Motion,2019-03-03,157
Lounge Motion,2019-03-04,24
Lounge Motion,2019-03-05,18
Lounge Motion,2019-03-06,19
Lounge Motion,2019-03-07,10
Lounge Motion,2019-03-08,100
Lounge Motion,2019-03-09,14
Lounge Motion,2019-03-10,18
Lounge Motion,2019-03-11,32
Lounge Motion,2019-03-12,20
Lounge Motion,2019-03-13,2
Lounge Motion,2019-03-14,2
Lounge Motion,2019-03-15,12
Lounge Motion,2019-03-16,24
Lounge Motion,2019-03-17,22
Lounge Motion,2019-03-18,8
Lounge Motion,2019-03-19,44
Lounge Motion,2019-03-20,20
Lounge Motion,2019-03-21,10
Lounge Motion,2019-03-22,14
Lounge Motion,2019-03-23,8
Lounge Motion,2019-03-24,6
Lounge Motion,2019-03-25,8
Lounge Motion,2019-03-26,2
Lounge Motion,2019-03-27,10
Lounge Motion,2019-03-28,10
Lounge Motion,2019-03-29,22
Lounge Motion,2019-03-30,10
Lounge Motion,2019-03-31,4
