function_name,date,value
Bathroom Door,2019-03-03,2
Bathroom Door,2019-03-04,0
Bathroom Door,2019-03-05,0
Bathroom Door,2019-03-06,4
Bathroom Door,2019-03-07,2
Bathroom Door,2019-03-08,2
Bathroom Door,2019-03-09,0
Bathroom Door,2019-03-10,1
Bathroom Door,2019-03-11,5
Bathroom Door,2019-03-12,2
Bathroom Door,2019-03-13,0
Bathroom Door,2019-03-14,0
Bathroom Door,2019-03-15,2
Bathroom Door,2019-03-16,0
Bathroom Door,2019-03-17,4
Bathroom Door,2019-03-18,0
Bathroom Door,2019-03-19,7
Bathroom Door,2019-03-20,14
Bathroom Door,2019-03-21,4
Bathroom Door,2019-03-22,9
Bathroom Door,2019-03-23,7
Bathroom Door,2019-03-24,8
Bathroom Door,2019-03-25,10
Bathroom Door,2019-03-26,6
Bathroom Door,2019-03-27,13
Bathroom Door,2019-03-28,4
Bathroom Door,2019-03-29,9
Bathroom Door,2019-03-30,4
Bathroom Door,2019-03-31,5
Bathroom Illuminance,2019-03-01,24
Bathroom Illuminance,2019-03-02,24
Bathroom Illuminance,2019-03-03,24
Bathroom Illuminance,2019-03-04,25
Bathroom Illuminance,2019-03-05,24
Bathroom Illuminance,2019-03-06,24
Bathroom Illuminance,2019-03-07,24
Bathroom Illuminance,2019-03-08,24
Bathroom Illuminance,2019-03-09,24
Bathroom Illuminance,2019-03-10,24
Bathroom Illuminance,2019-03-11,24
Bathroom Illuminance,2019-03-12,24
Bathroom Illuminance,2019-03-13,24
Bathroom Illuminance,2019-03-14,24
Bathroom Illuminance,2019-03-15,24
Bathroom Illuminance,2019-03-16,24
Bathroom Illuminance,2019-03-17,24
Bathroom Illuminance,2019-03-18,23
Bathroom Illuminance,2019-03-19,24
Bathroom Illuminance,2019-03-20,24
Bathroom Illuminance,2019-03-21,24
Bathroom Illuminance,2019-03-22,24
Bathroom Illuminance,2019-03-23,24
Bathroom Illuminance,2019-03-24,24
Bathroom Illuminance,2019-03-25,24
Bathroom Illuminance,2019-03-26,23
Bathroom Illuminance,2019-03-27,24
Bathroom Illuminance,2019-03-28,24
Bathroom Illuminance,2019-03-29,24
Bathroom Illuminance,2019-03-30,24
Bathroom Illuminance,2019-03-31,23
Bathroom Motion,2019-03-01,39
Bathroom Motion,2019-03-02,26
Bathroom Motion,2019-03-03,36
Bathroom Motion,2019-03-04,50
Bathroom Motion,2019-03-05,32
Bathroom Motion,2019-03-06,30
Bathroom Motion,2019-03-07,42
Bathroom Motion,2019-03-08,46
