function_name,date,value
Bed Lamp Power,2019-03-04,34
Bed Lamp Power,2019-03-05,0
Bed Lamp Power,2019-03-06,0
Bed Lamp Power,2019-03-07,0
Bed Lamp Power,2019-03-08,0
Bed Lamp Power,2019-03-09,0
Bed Lamp Power,2019-03-10,0
Bed Lamp Power,2019-03-11,45
Bed Lamp Power,2019-03-12,0
Bed Lamp Power,2019-03-13,0
Bed Lamp Power,2019-03-14,0
Bed Lamp Power,2019-03-15,0
Bed Lamp Power,2019-03-16,0
Bed Lamp Power,2019-03-17,0
Bed Lamp Power,2019-03-18,31
Bed Lamp Power,2019-03-19,0
Bed Lamp Power,2019-03-20,0
Bed Lamp Power,2019-03-21,0
Bed Lamp Power,2019-03-22,0
Bed Lamp Power,2019-03-23,0
Bed Lamp Power,2019-03-24,0
Bed Lamp Power,2019-03-25,28
Hot Water Kettle Kitchen Power,2019-03-04,38
Hot Water Kettle Kitchen Power,2019-03-05,0
Hot Water Kettle Kitchen Power,2019-03-06,0
Hot Water Kettle Kitchen Power,2019-03-07,0
Hot Water Kettle Kitchen Power,2019-03-08,0
Hot Water Kettle Kitchen Power,2019-03-09,0
Hot Water Kettle Kitchen Power,2019-03-10,0
Hot Water Kettle Kitchen Power,2019-03-11,38
Hot Water Kettle Kitchen Power,2019-03-12,0
Hot Water Kettle Kitchen Power,2019-03-13,0
Hot Water Kettle Kitchen Power,2019-03-14,0
Hot Water Kettle Kitchen Power,2019-03-15,0
Hot Water Kettle Kitchen Power,2019-03-16,0
Hot Water Kettle Kitchen Power,2019-03-17,0
Hot Water Kettle Kitchen Power,2019-03-18,35
Hot Water Kettle Kitchen Power,2019-03-19,0
Hot Water Kettle Kitchen Power,2019-03-20,0
Hot Water Kettle Kitchen Power,2019-03-21,0
Hot Water Kettle Kitchen Power,2019-03-22,0
Hot Water Kettle Kitchen Power,2019-03-23,0
Hot Water Kettle Kitchen Power,2019-03-24,0
Hot Water Kettle Kitchen Power,2019-03-25,38
TV Lounge Power,2019-03-04,1462
TV Lounge Power,2019-03-05,0
TV Lounge Power,2019-03-06,0
TV Lounge Power,2019-03-07,0
TV Lounge Power,2019-03-08,0
TV Lounge Power,2019-03-09,0
TV Lounge Power,2019-03-10,0
TV Lounge Power,2019-03-11,1395
TV Lounge Power,2019-03-12,0
TV Lounge Power,2019-03-13,0
TV Lounge Power,2019-03-14,0
TV Lounge Power,2019-03-15,0
TV Lounge Power,2019-03-16,0
TV Lounge Power,2019-03-17,0
TV Lounge Power,2019-03-18,1175
TV Lounge Power,2019-03-19,0
TV Lounge Power,2019-03-20,0
TV Lounge Power,2019-03-21,0
TV Lounge Power,2019-03-22,0
TV Lounge Power,2019-03-23,0
TV Lounge Power,2019-03-24,0
TV Lounge Power,2019-03-25,1336
