function_name,date,value
Bathroom Motion,2019-03-01,19
Bathroom Motion,2019-03-02,13
Bathroom Motion,2019-03-03,17
Bathroom Motion,2019-03-04,25
Bathroom Motion,2019-03-05,16
Bathroom Motion,2019-03-06,15
Bathroom Motion,2019-03-07,21
Bathroom Motion,2019-03-08,23
Bathroom Motion,2019-03-09,18
Bathroom Motion,2019-03-10,21
Bathroom Motion,2019-03-11,26
Bathroom Motion,2019-03-12,20
Bathroom Motion,2019-03-13,25
Bathroom Motion,2019-03-14,14
Bathroom Motion,2019-03-15,14
Bathroom Motion,2019-03-16,16
Bathroom Motion,2019-03-17,18
Bathroom Motion,2019-03-18,21
Bathroom Motion,2019-03-19,22
Bathroom Motion,2019-03-20,25
Bathroom Motion,2019-03-21,30
Bathroom Motion,2019-03-22,34
Bathroom Motion,2019-03-23,20
Bathroom Motion,2019-03-24,15
Bathroom Motion,2019-03-25,17
Bathroom Motion,2019-03-26,19
Bathroom Motion,2019-03-27,35
Bathroom Motion,2019-03-28,20
Bathroom Motion,2019-03-29,17
Bathroom Motion,2019-03-30,19
Bathroom Motion,2019-03-31,17
Bed Lamp Power,2019-03-16,1
Bed Lamp Power,2019-03-17,0
Bed Lamp Power,2019-03-18,0
Bed Lamp Power,2019-03-19,0
Bed Lamp Power,2019-03-20,1
Bed Lamp Power,2019-03-21,0
Bed Lamp Power,2019-03-22,0
Bed Lamp Power,2019-03-23,0
Bed Lamp Power,2019-03-24,1
Bedroom Illuminance,2019-03-15,1
Bedroom Illuminance,2019-03-16,0
Bedroom Illuminance,2019-03-17,1
Bedroom Motion,2019-03-01,39
Bedroom Motion,2019-03-02,27
Bedroom Motion,2019-03-03,34
Bedroom Motion,2019-03-04,41
Bedroom Motion,2019-03-05,42
Bedroom Motion,2019-03-06,36
Bedroom Motion,2019-03-07,35
Bedroom Motion,2019-03-08,73
Bedroom Motion,2019-03-09,34
Bedroom Motion,2019-03-10,29
Bedroom Motion,2019-03-11,62
Bedroom Motion,2019-03-12,33
Bedroom Motion,2019-03-13,50
Bedroom Motion,2019-03-14,46
Bedroom Motion,2019-03-15,46
Bedroom Motion,2019-03-16,41
Bedroom Motion,2019-03-17,46
Bedroom Motion,2019-03-18,33
Bedroom Motion,2019-03-19,91
Bedroom Motion,2019-03-20,49
Bedroom Motion,2019-03-21,42
Bedroom Motion,2019-03-22,51
Bedroom Motion,2019-03-23,38
Bedroom Motion,2019-03-24,22
Bedroom Motion,2019-03-25,38
Bedroom Motion,2019-03-26,51
Bedroom Motion,2019-03-27,70
Bedroom Motion,2019-03-28,51
Bedroom Motion,2019-03-29,44
Bedroom Motion,2019-03-30,31
Bedroom Motion,2019-03-31,41
Kitchen Illuminance,2019-03-01,1
Kitchen Illuminance,2019-03-02,1
Kitchen Illuminance,2019-03-03,1
Kitchen Motion,2019-03-01,70
Kitchen Motion,2019-03-02,57
Kitchen Motion,2019-03-03,107
Kitchen Motion,2019-03-04,77
Kitchen Motion,2019-03-05,98
Kitchen Motion,2019-03-06,60
Kitchen Motion,2019-03-07,87
Kitchen Motion,2019-03-08,128
Kitchen Motion,2019-03-09,53
Kitchen Motion,2019-03-10,60
Kitchen Motion,2019-03-11,105
Kitchen Motion,2019-03-12,75
Kitchen Motion,2019-03-13,44
Kitchen Motion,2019-03-14,62
Kitchen Motion,2019-03-15,65
Kitchen Motion,2019-03-16,85
Kitchen Motion,2019-03-17,68
Kitchen Motion,2019-03-18,71
Kitchen Motion,2019-03-19,104
Kitchen Motion,2019-03-20,102
Kitchen Motion,2019-03-21,75
Kitchen Motion,2019-03-22,63
Kitchen Motion,2019-03-23,50
Kitchen Motion,2019-03-24,55
Kitchen Motion,2019-03-25,57
Kitchen Motion,2019-03-26,76
Kitchen Motion,2019-03-27,81
Kitchen Motion,2019-03-28,76
Kitchen Motion,2019-03-29,79
Kitchen Motion,2019-03-30,58
Kitchen Motion,2019-03-31,57
Lounge Illuminance,2019-03-02,2
Lounge Illuminance,2019-03-03,0
Lounge Illuminance,2019-03-04,0
Lounge Illuminance,2019-03-05,1
Lounge Illuminance,2019-03-06,0
Lounge Illuminance,2019-03-07,0
Lounge Illuminance,2019-03-08,1
Lounge Illuminance,2019-03-09,0
Lounge Illuminance,2019-03-10,0
Lounge Illuminance,2019-03-11,0
Lounge Illuminance,2019-03-12,0
Lounge Illuminance,2019-03-13,0
Lounge Illuminance,2019-03-14,0
Lounge Illuminance,2019-03-15,0
Lounge Illuminance,2019-03-16,1
Lounge Illuminance,2019-03-17,0
Lounge Illuminance,2019-03-18,0
Lounge Illuminance,2019-03-19,0
Lounge Illuminance,2019-03-20,1
Lounge Illuminance,2019-03-21,0
Lounge Illuminance,2019-03-22,0
Lounge Illuminance,2019-03-23,1
Lounge Illuminance,2019-03-24,0
Lounge Illuminance,2019-03-25,0
Lounge Illuminance,2019-03-26,0
Lounge Illuminance,2019-03-27,1
Lounge Illuminance,2019-03-28,0
Lounge Illuminance,2019-03-29,0
Lounge Illuminance,2019-03-30,1
Lounge Illuminance,2019-03-31,1
Lounge Motion,2019-03-01,24
Lounge Motion,2019-03-02,12
Lounge Motion,2019-03-03,78
Lounge Motion,2019-03-04,12
Lounge Motion,2019-03-05,9
Lounge Motion,2019-03-06,9
Lounge Motion,2019-03-07,5
Lounge Motion,2019-03-08,50
Lounge Motion,2019-03-09,7
Lounge Motion,2019-03-10,9
Lounge Motion,2019-03-11,16
Lounge Motion,2019-03-12,10
Lounge Motion,2019-03-13,1
Lounge Motion,2019-03-14,1
Lounge Motion,2019-03-15,6
Lounge Motion,2019-03-16,12
Lounge Motion,2019-03-17,11
Lounge Motion,2019-03-18,4
Lounge Motion,2019-03-19,22
Lounge Motion,2019-03-20,10
Lounge Motion,2019-03-21,5
Lounge Motion,2019-03-22,7
Lounge Motion,2019-03-23,4
Lounge Motion,2019-03-24,3
Lounge Motion,2019-03-25,4
Lounge Motion,2019-03-26,1
Lounge Motion,2019-03-27,5
Lounge Motion,2019-03-28,5
